worker_id	segment	warmup	trial	stimulus	target	delay	correct	response	rt	addend1	addend2	addend1_s	addend2_s	calib_rt	keyboard	adjusted_rt
AC5FF0SJI0RXM	add2	False	7	12+5	17	609	True	17	1472	12	5	12	05	775.5	numbar	696.5
AC5FF0SJI0RXM	add2	False	96	17+0	17	745	True	17	1202	17	0	17	00	775.5	numbar	426.5
AC5FF0SJI0RXM	add2	False	11	0+0	0	990	True	0	752	0	0	00	00	737.0	numbar	15.0
AC5FF0SJI0RXM	add2	False	110	2+11	13	631	True	13	2912	2	11	02	11	772.3333333333334	numbar	2139.6666666666665
AC5FF0SJI0RXM	add2	False	84	8+5	13	734	True	13	3151	8	5	08	05	772.3333333333334	numbar	2378.6666666666665
AC5FF0SJI0RXM	add2	False	91	4+9	13	922	True	13	1477	4	9	04	09	772.3333333333334	numbar	704.6666666666666
AC5FF0SJI0RXM	add2	False	119	6+7	13	822	True	13	1911	6	7	06	07	772.3333333333334	numbar	1138.6666666666665
AC5FF0SJI0RXM	add2	False	121	10+3	13	869	True	13	1129	10	3	10	03	772.3333333333334	numbar	356.66666666666663
AC5FF0SJI0RXM	add2	False	69	0+13	13	714	True	13	1197	0	13	00	13	772.3333333333334	numbar	424.66666666666663
AC5FF0SJI0RXM	add2	False	118	12+1	13	722	True	13	1095	12	1	12	01	772.3333333333334	numbar	322.66666666666663
AC5FF0SJI0RXM	add2	False	30	13+0	13	634	True	13	979	13	0	13	00	772.3333333333334	numbar	206.66666666666663
AC5FF0SJI0RXM	add2	False	38	3+10	13	592	True	13	1294	3	10	03	10	772.3333333333334	numbar	521.6666666666666
AC5FF0SJI0RXM	add2	False	9	11+2	13	723	True	13	1730	11	2	11	02	772.3333333333334	numbar	957.6666666666666
AC5FF0SJI0RXM	add2	False	12	13+1	14	418	True	14	1100	13	1	13	01	713.3333333333334	numbar	386.66666666666663
AC5FF0SJI0RXM	add2	False	120	10+4	14	648	True	14	2574	10	4	10	04	713.3333333333334	numbar	1860.6666666666665
AC5FF0SJI0RXM	add2	False	134	11+3	14	411	True	14	1184	11	3	11	03	713.3333333333334	numbar	470.66666666666663
AC5FF0SJI0RXM	add2	False	135	5+9	14	857	True	14	2508	5	9	05	09	713.3333333333334	numbar	1794.6666666666665
AC5FF0SJI0RXM	add2	False	28	7+7	14	584	True	14	997	7	7	07	07	713.3333333333334	numbar	283.66666666666663
AC5FF0SJI0RXM	add2	False	35	9+5	14	660	True	14	2071	9	5	09	05	713.3333333333334	numbar	1357.6666666666665
AC5FF0SJI0RXM	add2	False	139	0+14	14	789	True	14	3255	0	14	00	14	713.3333333333334	numbar	2541.6666666666665
AC5FF0SJI0RXM	add2	False	146	4+10	14	969	True	14	1148	4	10	04	10	713.3333333333334	numbar	434.66666666666663
AC5FF0SJI0RXM	add2	False	40	8+6	14	877	True	14	3130	8	6	08	06	713.3333333333334	numbar	2416.6666666666665
AC5FF0SJI0RXM	add2	False	61	14+0	14	987	True	14	1911	14	0	14	00	713.3333333333334	numbar	1197.6666666666665
AC5FF0SJI0RXM	add2	False	136	2+12	14	675	True	14	1252	2	12	02	12	713.3333333333334	numbar	538.6666666666666
AC5FF0SJI0RXM	add2	False	15	3+11	14	479	True	14	1272	3	11	03	11	713.3333333333334	numbar	558.6666666666666
AC5FF0SJI0RXM	add2	False	59	1+13	14	965	True	14	1302	1	13	01	13	713.3333333333334	numbar	588.6666666666666
AC5FF0SJI0RXM	add2	False	62	12+2	14	668	True	14	1677	12	2	12	02	713.3333333333334	numbar	963.6666666666666
AC5FF0SJI0RXM	add2	False	79	6+8	14	824	True	14	2889	6	8	06	08	713.3333333333334	numbar	2175.6666666666665
